Foto, Nimi, Vanus, Reiting, Palk, Reputatsioon, Motivatsioon, Riik
<img src="https://cdn.sofifa.org/players/4/19/158023.png">,L. Messi,31,94,565,5,Keskmine,Argentina
<img src="https://cdn.sofifa.org/players/4/19/20801.png">,Cristiano Ronaldo,33,94,405,5,Keskmine,Portugal
<img src="https://cdn.sofifa.org/players/4/19/190871.png">,Neymar Jr,26,92,290,5,K&otilde;rge,Brazil
<img src="https://cdn.sofifa.org/players/4/19/193080.png">,De Gea,27,91,260,4,Keskmine,Spain
<img src="https://cdn.sofifa.org/players/4/19/192985.png">,K. De Bruyne,27,91,355,4,K&otilde;rge,Belgium
<img src="https://cdn.sofifa.org/players/4/19/183277.png">,E. Hazard,27,91,340,4,K&otilde;rge,Belgium
<img src="https://cdn.sofifa.org/players/4/19/177003.png">,L. Modri&#263;,32,91,420,4,K&otilde;rge,Croatia
<img src="https://cdn.sofifa.org/players/4/19/176580.png">,L. Su&aacute;rez,31,91,455,5,K&otilde;rge,Uruguay
<img src="https://cdn.sofifa.org/players/4/19/155862.png">,Sergio Ramos,32,91,380,4,K&otilde;rge,Spain
<img src="https://cdn.sofifa.org/players/4/19/200389.png">,J. Oblak,25,90,94,3,Keskmine,Slovenia
<img src="https://cdn.sofifa.org/players/4/19/188545.png">,R. Lewandowski,29,90,205,4,K&otilde;rge,Poland
<img src="https://cdn.sofifa.org/players/4/19/182521.png">,T. Kroos,28,90,355,4,Keskmine,Germany
<img src="https://cdn.sofifa.org/players/4/19/182493.png">,D. God&iacute;n,32,90,125,3,K&otilde;rge,Uruguay
<img src="https://cdn.sofifa.org/players/4/19/168542.png">,David Silva,32,90,285,4,K&otilde;rge,Spain
<img src="https://cdn.sofifa.org/players/4/19/215914.png">,N. Kant&eacute;,27,89,225,3,K&otilde;rge,France
<img src="https://cdn.sofifa.org/players/4/19/211110.png">,P. Dybala,24,89,205,3,K&otilde;rge,Argentina
<img src="https://cdn.sofifa.org/players/4/19/202126.png">,H. Kane,24,89,205,3,K&otilde;rge,England
